,path,emotion
0,data/custom\03-01-01-01-01-01-01.wav,neutral
1,data/custom\03-01-01-01-01-01-02.wav,neutral
2,data/custom\03-01-01-01-01-01-03.wav,neutral
3,data/custom\03-01-01-01-01-01-04.wav,neutral
4,data/custom\03-01-01-01-01-01-05.wav,neutral
5,data/custom\03-01-01-01-01-01-06.wav,neutral
6,data/custom\03-01-01-01-01-01-07.wav,neutral
7,data/custom\03-01-01-01-01-01-08.wav,neutral
8,data/custom\03-01-01-01-01-01-09.wav,neutral
9,data/custom\03-01-01-01-01-01-10.wav,neutral
10,data/custom\03-01-01-01-01-01-11.wav,neutral
11,data/custom\03-01-01-01-01-01-12.wav,neutral
12,data/custom\03-01-01-01-01-01-13.wav,neutral
13,data/custom\03-01-01-01-01-01-14.wav,neutral
14,data/custom\03-01-01-01-01-01-15.wav,neutral
15,data/custom\03-01-01-01-01-01-16.wav,neutral
16,data/custom\03-01-01-01-01-01-17.wav,neutral
17,data/custom\03-01-01-01-01-01-18.wav,neutral
18,data/custom\03-01-01-01-01-01-19.wav,neutral
19,data/custom\03-01-01-01-01-01-20.wav,neutral
20,data/custom\03-01-01-01-01-01-21.wav,neutral
21,data/custom\03-01-01-01-01-01-22.wav,neutral
22,data/custom\03-01-01-01-01-01-23.wav,neutral
23,data/custom\03-01-01-01-01-01-24.wav,neutral
24,data/custom\03-01-01-01-01-02-01.wav,neutral
25,data/custom\03-01-01-01-01-02-02.wav,neutral
26,data/custom\03-01-01-01-01-02-03.wav,neutral
27,data/custom\03-01-01-01-01-02-04.wav,neutral
28,data/custom\03-01-01-01-01-02-05.wav,neutral
29,data/custom\03-01-01-01-01-02-06.wav,neutral
30,data/custom\03-01-01-01-01-02-07.wav,neutral
31,data/custom\03-01-01-01-01-02-08.wav,neutral
32,data/custom\03-01-01-01-01-02-09.wav,neutral
33,data/custom\03-01-01-01-01-02-10.wav,neutral
34,data/custom\03-01-01-01-01-02-11.wav,neutral
35,data/custom\03-01-01-01-01-02-12.wav,neutral
36,data/custom\03-01-01-01-01-02-13.wav,neutral
37,data/custom\03-01-01-01-01-02-14.wav,neutral
38,data/custom\03-01-01-01-01-02-15.wav,neutral
39,data/custom\03-01-01-01-01-02-16.wav,neutral
40,data/custom\03-01-01-01-01-02-17.wav,neutral
41,data/custom\03-01-01-01-01-02-18.wav,neutral
42,data/custom\03-01-01-01-01-02-19.wav,neutral
43,data/custom\03-01-01-01-01-02-20.wav,neutral
44,data/custom\03-01-01-01-01-02-21.wav,neutral
45,data/custom\03-01-01-01-01-02-22.wav,neutral
46,data/custom\03-01-01-01-01-02-23.wav,neutral
47,data/custom\03-01-01-01-01-02-24.wav,neutral
48,data/custom\03-01-01-01-02-01-01.wav,neutral
49,data/custom\03-01-01-01-02-01-02.wav,neutral
50,data/custom\03-01-01-01-02-01-03.wav,neutral
51,data/custom\03-01-01-01-02-01-04.wav,neutral
52,data/custom\03-01-01-01-02-01-05.wav,neutral
53,data/custom\03-01-01-01-02-01-06.wav,neutral
54,data/custom\03-01-01-01-02-01-07.wav,neutral
55,data/custom\03-01-01-01-02-01-08.wav,neutral
56,data/custom\03-01-01-01-02-01-09.wav,neutral
57,data/custom\03-01-01-01-02-01-10.wav,neutral
58,data/custom\03-01-01-01-02-01-11.wav,neutral
59,data/custom\03-01-01-01-02-01-12.wav,neutral
60,data/custom\03-01-01-01-02-01-13.wav,neutral
61,data/custom\03-01-01-01-02-01-14.wav,neutral
62,data/custom\03-01-01-01-02-01-15.wav,neutral
63,data/custom\03-01-01-01-02-01-16.wav,neutral
64,data/custom\03-01-01-01-02-01-17.wav,neutral
65,data/custom\03-01-01-01-02-01-18.wav,neutral
66,data/custom\03-01-01-01-02-01-19.wav,neutral
67,data/custom\03-01-01-01-02-01-20.wav,neutral
68,data/custom\03-01-01-01-02-01-21.wav,neutral
69,data/custom\03-01-01-01-02-01-22.wav,neutral
70,data/custom\03-01-01-01-02-01-23.wav,neutral
71,data/custom\03-01-01-01-02-01-24.wav,neutral
72,data/custom\03-01-01-01-02-02-01.wav,neutral
73,data/custom\03-01-01-01-02-02-02.wav,neutral
74,data/custom\03-01-01-01-02-02-03.wav,neutral
75,data/custom\03-01-01-01-02-02-04.wav,neutral
76,data/custom\03-01-01-01-02-02-05.wav,neutral
77,data/custom\03-01-01-01-02-02-06.wav,neutral
78,data/custom\03-01-01-01-02-02-07.wav,neutral
79,data/custom\03-01-01-01-02-02-08.wav,neutral
80,data/custom\03-01-01-01-02-02-09.wav,neutral
81,data/custom\03-01-01-01-02-02-10.wav,neutral
82,data/custom\03-01-01-01-02-02-11.wav,neutral
83,data/custom\03-01-01-01-02-02-12.wav,neutral
84,data/custom\03-01-01-01-02-02-13.wav,neutral
85,data/custom\03-01-01-01-02-02-14.wav,neutral
86,data/custom\03-01-01-01-02-02-15.wav,neutral
87,data/custom\03-01-01-01-02-02-16.wav,neutral
88,data/custom\03-01-01-01-02-02-17.wav,neutral
89,data/custom\03-01-01-01-02-02-18.wav,neutral
90,data/custom\03-01-01-01-02-02-19.wav,neutral
91,data/custom\03-01-01-01-02-02-20.wav,neutral
92,data/custom\03-01-01-01-02-02-21.wav,neutral
93,data/custom\03-01-01-01-02-02-22.wav,neutral
94,data/custom\03-01-01-01-02-02-23.wav,neutral
95,data/custom\03-01-01-01-02-02-24.wav,neutral
96,data/custom\03-01-02-01-01-01-01.wav,calm
97,data/custom\03-01-02-01-01-01-02.wav,calm
98,data/custom\03-01-02-01-01-01-03.wav,calm
99,data/custom\03-01-02-01-01-01-04.wav,calm
100,data/custom\03-01-02-01-01-01-05.wav,calm
101,data/custom\03-01-02-01-01-01-06.wav,calm
102,data/custom\03-01-02-01-01-01-07.wav,calm
103,data/custom\03-01-02-01-01-01-08.wav,calm
104,data/custom\03-01-02-01-01-01-09.wav,calm
105,data/custom\03-01-02-01-01-01-10.wav,calm
106,data/custom\03-01-02-01-01-01-11.wav,calm
107,data/custom\03-01-02-01-01-01-12.wav,calm
108,data/custom\03-01-02-01-01-01-13.wav,calm
109,data/custom\03-01-02-01-01-01-14.wav,calm
110,data/custom\03-01-02-01-01-01-15.wav,calm
111,data/custom\03-01-02-01-01-01-16.wav,calm
112,data/custom\03-01-02-01-01-01-17.wav,calm
113,data/custom\03-01-02-01-01-01-18.wav,calm
114,data/custom\03-01-02-01-01-01-19.wav,calm
115,data/custom\03-01-02-01-01-01-20.wav,calm
116,data/custom\03-01-02-01-01-01-21.wav,calm
117,data/custom\03-01-02-01-01-01-22.wav,calm
118,data/custom\03-01-02-01-01-01-23.wav,calm
119,data/custom\03-01-02-01-01-01-24.wav,calm
120,data/custom\03-01-02-01-01-02-01.wav,calm
121,data/custom\03-01-02-01-01-02-02.wav,calm
122,data/custom\03-01-02-01-01-02-03.wav,calm
123,data/custom\03-01-02-01-01-02-04.wav,calm
124,data/custom\03-01-02-01-01-02-05.wav,calm
125,data/custom\03-01-02-01-01-02-06.wav,calm
126,data/custom\03-01-02-01-01-02-07.wav,calm
127,data/custom\03-01-02-01-01-02-08.wav,calm
128,data/custom\03-01-02-01-01-02-09.wav,calm
129,data/custom\03-01-02-01-01-02-10.wav,calm
130,data/custom\03-01-02-01-01-02-11.wav,calm
131,data/custom\03-01-02-01-01-02-12.wav,calm
132,data/custom\03-01-02-01-01-02-13.wav,calm
133,data/custom\03-01-02-01-01-02-14.wav,calm
134,data/custom\03-01-02-01-01-02-15.wav,calm
135,data/custom\03-01-02-01-01-02-16.wav,calm
136,data/custom\03-01-02-01-01-02-17.wav,calm
137,data/custom\03-01-02-01-01-02-18.wav,calm
138,data/custom\03-01-02-01-01-02-19.wav,calm
139,data/custom\03-01-02-01-01-02-20.wav,calm
140,data/custom\03-01-02-01-01-02-21.wav,calm
141,data/custom\03-01-02-01-01-02-22.wav,calm
142,data/custom\03-01-02-01-01-02-23.wav,calm
143,data/custom\03-01-02-01-01-02-24.wav,calm
144,data/custom\03-01-02-01-02-01-01.wav,calm
145,data/custom\03-01-02-01-02-01-02.wav,calm
146,data/custom\03-01-02-01-02-01-03.wav,calm
147,data/custom\03-01-02-01-02-01-04.wav,calm
148,data/custom\03-01-02-01-02-01-05.wav,calm
149,data/custom\03-01-02-01-02-01-06.wav,calm
150,data/custom\03-01-02-01-02-01-07.wav,calm
151,data/custom\03-01-02-01-02-01-08.wav,calm
152,data/custom\03-01-02-01-02-01-09.wav,calm
153,data/custom\03-01-02-01-02-01-10.wav,calm
154,data/custom\03-01-02-01-02-01-11.wav,calm
155,data/custom\03-01-02-01-02-01-12.wav,calm
156,data/custom\03-01-02-01-02-01-13.wav,calm
157,data/custom\03-01-02-01-02-01-14.wav,calm
158,data/custom\03-01-02-01-02-01-15.wav,calm
159,data/custom\03-01-02-01-02-01-16.wav,calm
160,data/custom\03-01-02-01-02-01-17.wav,calm
161,data/custom\03-01-02-01-02-01-18.wav,calm
162,data/custom\03-01-02-01-02-01-19.wav,calm
163,data/custom\03-01-02-01-02-01-20.wav,calm
164,data/custom\03-01-02-01-02-01-21.wav,calm
165,data/custom\03-01-02-01-02-01-22.wav,calm
166,data/custom\03-01-02-01-02-01-23.wav,calm
167,data/custom\03-01-02-01-02-01-24.wav,calm
168,data/custom\03-01-02-01-02-02-01.wav,calm
169,data/custom\03-01-02-01-02-02-02.wav,calm
170,data/custom\03-01-02-01-02-02-03.wav,calm
171,data/custom\03-01-02-01-02-02-04.wav,calm
172,data/custom\03-01-02-01-02-02-05.wav,calm
173,data/custom\03-01-02-01-02-02-06.wav,calm
174,data/custom\03-01-02-01-02-02-07.wav,calm
175,data/custom\03-01-02-01-02-02-08.wav,calm
176,data/custom\03-01-02-01-02-02-09.wav,calm
177,data/custom\03-01-02-01-02-02-10.wav,calm
178,data/custom\03-01-02-01-02-02-11.wav,calm
179,data/custom\03-01-02-01-02-02-12.wav,calm
180,data/custom\03-01-02-01-02-02-13.wav,calm
181,data/custom\03-01-02-01-02-02-14.wav,calm
182,data/custom\03-01-02-01-02-02-15.wav,calm
183,data/custom\03-01-02-01-02-02-16.wav,calm
184,data/custom\03-01-02-01-02-02-17.wav,calm
185,data/custom\03-01-02-01-02-02-18.wav,calm
186,data/custom\03-01-02-01-02-02-19.wav,calm
187,data/custom\03-01-02-01-02-02-20.wav,calm
188,data/custom\03-01-02-01-02-02-21.wav,calm
189,data/custom\03-01-02-01-02-02-22.wav,calm
190,data/custom\03-01-02-01-02-02-23.wav,calm
191,data/custom\03-01-02-01-02-02-24.wav,calm
192,data/custom\03-01-02-02-01-01-01.wav,calm
193,data/custom\03-01-02-02-01-01-02.wav,calm
194,data/custom\03-01-02-02-01-01-03.wav,calm
195,data/custom\03-01-02-02-01-01-04.wav,calm
196,data/custom\03-01-02-02-01-01-05.wav,calm
197,data/custom\03-01-02-02-01-01-06.wav,calm
198,data/custom\03-01-02-02-01-01-07.wav,calm
199,data/custom\03-01-02-02-01-01-08.wav,calm
200,data/custom\03-01-02-02-01-01-09.wav,calm
201,data/custom\03-01-02-02-01-01-10.wav,calm
202,data/custom\03-01-02-02-01-01-11.wav,calm
203,data/custom\03-01-02-02-01-01-12.wav,calm
204,data/custom\03-01-02-02-01-01-13.wav,calm
205,data/custom\03-01-02-02-01-01-14.wav,calm
206,data/custom\03-01-02-02-01-01-15.wav,calm
207,data/custom\03-01-02-02-01-01-16.wav,calm
208,data/custom\03-01-02-02-01-01-17.wav,calm
209,data/custom\03-01-02-02-01-01-18.wav,calm
210,data/custom\03-01-02-02-01-01-19.wav,calm
211,data/custom\03-01-02-02-01-01-20.wav,calm
212,data/custom\03-01-02-02-01-01-21.wav,calm
213,data/custom\03-01-02-02-01-01-22.wav,calm
214,data/custom\03-01-02-02-01-01-23.wav,calm
215,data/custom\03-01-02-02-01-01-24.wav,calm
216,data/custom\03-01-02-02-01-02-01.wav,calm
217,data/custom\03-01-02-02-01-02-02.wav,calm
218,data/custom\03-01-02-02-01-02-03.wav,calm
219,data/custom\03-01-02-02-01-02-04.wav,calm
220,data/custom\03-01-02-02-01-02-05.wav,calm
221,data/custom\03-01-02-02-01-02-06.wav,calm
222,data/custom\03-01-02-02-01-02-07.wav,calm
223,data/custom\03-01-02-02-01-02-08.wav,calm
224,data/custom\03-01-02-02-01-02-09.wav,calm
225,data/custom\03-01-02-02-01-02-10.wav,calm
226,data/custom\03-01-02-02-01-02-11.wav,calm
227,data/custom\03-01-02-02-01-02-12.wav,calm
228,data/custom\03-01-02-02-01-02-13.wav,calm
229,data/custom\03-01-02-02-01-02-14.wav,calm
230,data/custom\03-01-02-02-01-02-15.wav,calm
231,data/custom\03-01-02-02-01-02-16.wav,calm
232,data/custom\03-01-02-02-01-02-17.wav,calm
233,data/custom\03-01-02-02-01-02-18.wav,calm
234,data/custom\03-01-02-02-01-02-19.wav,calm
235,data/custom\03-01-02-02-01-02-20.wav,calm
236,data/custom\03-01-02-02-01-02-21.wav,calm
237,data/custom\03-01-02-02-01-02-22.wav,calm
238,data/custom\03-01-02-02-01-02-23.wav,calm
239,data/custom\03-01-02-02-01-02-24.wav,calm
240,data/custom\03-01-02-02-02-01-01.wav,calm
241,data/custom\03-01-02-02-02-01-02.wav,calm
242,data/custom\03-01-02-02-02-01-03.wav,calm
243,data/custom\03-01-02-02-02-01-04.wav,calm
244,data/custom\03-01-02-02-02-01-05.wav,calm
245,data/custom\03-01-02-02-02-01-06.wav,calm
246,data/custom\03-01-02-02-02-01-07.wav,calm
247,data/custom\03-01-02-02-02-01-08.wav,calm
248,data/custom\03-01-02-02-02-01-09.wav,calm
249,data/custom\03-01-02-02-02-01-10.wav,calm
250,data/custom\03-01-02-02-02-01-11.wav,calm
251,data/custom\03-01-02-02-02-01-12.wav,calm
252,data/custom\03-01-02-02-02-01-13.wav,calm
253,data/custom\03-01-02-02-02-01-14.wav,calm
254,data/custom\03-01-02-02-02-01-15.wav,calm
255,data/custom\03-01-02-02-02-01-16.wav,calm
256,data/custom\03-01-02-02-02-01-17.wav,calm
257,data/custom\03-01-02-02-02-01-18.wav,calm
258,data/custom\03-01-02-02-02-01-19.wav,calm
259,data/custom\03-01-02-02-02-01-20.wav,calm
260,data/custom\03-01-02-02-02-01-21.wav,calm
261,data/custom\03-01-02-02-02-01-22.wav,calm
262,data/custom\03-01-02-02-02-01-23.wav,calm
263,data/custom\03-01-02-02-02-01-24.wav,calm
264,data/custom\03-01-02-02-02-02-01.wav,calm
265,data/custom\03-01-02-02-02-02-02.wav,calm
266,data/custom\03-01-02-02-02-02-03.wav,calm
267,data/custom\03-01-02-02-02-02-04.wav,calm
268,data/custom\03-01-02-02-02-02-05.wav,calm
269,data/custom\03-01-02-02-02-02-06.wav,calm
270,data/custom\03-01-02-02-02-02-07.wav,calm
271,data/custom\03-01-02-02-02-02-08.wav,calm
272,data/custom\03-01-02-02-02-02-09.wav,calm
273,data/custom\03-01-02-02-02-02-10.wav,calm
274,data/custom\03-01-02-02-02-02-11.wav,calm
275,data/custom\03-01-02-02-02-02-12.wav,calm
276,data/custom\03-01-02-02-02-02-13.wav,calm
277,data/custom\03-01-02-02-02-02-14.wav,calm
278,data/custom\03-01-02-02-02-02-15.wav,calm
279,data/custom\03-01-02-02-02-02-16.wav,calm
280,data/custom\03-01-02-02-02-02-17.wav,calm
281,data/custom\03-01-02-02-02-02-18.wav,calm
282,data/custom\03-01-02-02-02-02-19.wav,calm
283,data/custom\03-01-02-02-02-02-20.wav,calm
284,data/custom\03-01-02-02-02-02-21.wav,calm
285,data/custom\03-01-02-02-02-02-22.wav,calm
286,data/custom\03-01-02-02-02-02-23.wav,calm
287,data/custom\03-01-02-02-02-02-24.wav,calm
288,data/custom\03-01-03-01-01-01-01.wav,happy
289,data/custom\03-01-03-01-01-01-02.wav,happy
290,data/custom\03-01-03-01-01-01-03.wav,happy
291,data/custom\03-01-03-01-01-01-04.wav,happy
292,data/custom\03-01-03-01-01-01-05.wav,happy
293,data/custom\03-01-03-01-01-01-06.wav,happy
294,data/custom\03-01-03-01-01-01-07.wav,happy
295,data/custom\03-01-03-01-01-01-08.wav,happy
296,data/custom\03-01-03-01-01-01-09.wav,happy
297,data/custom\03-01-03-01-01-01-10.wav,happy
298,data/custom\03-01-03-01-01-01-11.wav,happy
299,data/custom\03-01-03-01-01-01-12.wav,happy
300,data/custom\03-01-03-01-01-01-13.wav,happy
301,data/custom\03-01-03-01-01-01-14.wav,happy
302,data/custom\03-01-03-01-01-01-15.wav,happy
303,data/custom\03-01-03-01-01-01-16.wav,happy
304,data/custom\03-01-03-01-01-01-17.wav,happy
305,data/custom\03-01-03-01-01-01-18.wav,happy
306,data/custom\03-01-03-01-01-01-19.wav,happy
307,data/custom\03-01-03-01-01-01-20.wav,happy
308,data/custom\03-01-03-01-01-01-21.wav,happy
309,data/custom\03-01-03-01-01-01-22.wav,happy
310,data/custom\03-01-03-01-01-01-23.wav,happy
311,data/custom\03-01-03-01-01-01-24.wav,happy
312,data/custom\03-01-03-01-01-02-01.wav,happy
313,data/custom\03-01-03-01-01-02-02.wav,happy
314,data/custom\03-01-03-01-01-02-03.wav,happy
315,data/custom\03-01-03-01-01-02-04.wav,happy
316,data/custom\03-01-03-01-01-02-05.wav,happy
317,data/custom\03-01-03-01-01-02-06.wav,happy
318,data/custom\03-01-03-01-01-02-07.wav,happy
319,data/custom\03-01-03-01-01-02-08.wav,happy
320,data/custom\03-01-03-01-01-02-09.wav,happy
321,data/custom\03-01-03-01-01-02-10.wav,happy
322,data/custom\03-01-03-01-01-02-11.wav,happy
323,data/custom\03-01-03-01-01-02-12.wav,happy
324,data/custom\03-01-03-01-01-02-13.wav,happy
325,data/custom\03-01-03-01-01-02-14.wav,happy
326,data/custom\03-01-03-01-01-02-15.wav,happy
327,data/custom\03-01-03-01-01-02-16.wav,happy
328,data/custom\03-01-03-01-01-02-17.wav,happy
329,data/custom\03-01-03-01-01-02-18.wav,happy
330,data/custom\03-01-03-01-01-02-19.wav,happy
331,data/custom\03-01-03-01-01-02-20.wav,happy
332,data/custom\03-01-03-01-01-02-21.wav,happy
333,data/custom\03-01-03-01-01-02-22.wav,happy
334,data/custom\03-01-03-01-01-02-23.wav,happy
335,data/custom\03-01-03-01-01-02-24.wav,happy
336,data/custom\03-01-03-01-02-01-01.wav,happy
337,data/custom\03-01-03-01-02-01-02.wav,happy
338,data/custom\03-01-03-01-02-01-03.wav,happy
339,data/custom\03-01-03-01-02-01-04.wav,happy
340,data/custom\03-01-03-01-02-01-05.wav,happy
341,data/custom\03-01-03-01-02-01-06.wav,happy
342,data/custom\03-01-03-01-02-01-07.wav,happy
343,data/custom\03-01-03-01-02-01-08.wav,happy
344,data/custom\03-01-03-01-02-01-09.wav,happy
345,data/custom\03-01-03-01-02-01-10.wav,happy
346,data/custom\03-01-03-01-02-01-11.wav,happy
347,data/custom\03-01-03-01-02-01-12.wav,happy
348,data/custom\03-01-03-01-02-01-13.wav,happy
349,data/custom\03-01-03-01-02-01-14.wav,happy
350,data/custom\03-01-03-01-02-01-15.wav,happy
351,data/custom\03-01-03-01-02-01-16.wav,happy
352,data/custom\03-01-03-01-02-01-17.wav,happy
353,data/custom\03-01-03-01-02-01-18.wav,happy
354,data/custom\03-01-03-01-02-01-19.wav,happy
355,data/custom\03-01-03-01-02-01-20.wav,happy
356,data/custom\03-01-03-01-02-01-21.wav,happy
357,data/custom\03-01-03-01-02-01-22.wav,happy
358,data/custom\03-01-03-01-02-01-23.wav,happy
359,data/custom\03-01-03-01-02-01-24.wav,happy
360,data/custom\03-01-03-01-02-02-01.wav,happy
361,data/custom\03-01-03-01-02-02-02.wav,happy
362,data/custom\03-01-03-01-02-02-03.wav,happy
363,data/custom\03-01-03-01-02-02-04.wav,happy
364,data/custom\03-01-03-01-02-02-05.wav,happy
365,data/custom\03-01-03-01-02-02-06.wav,happy
366,data/custom\03-01-03-01-02-02-07.wav,happy
367,data/custom\03-01-03-01-02-02-08.wav,happy
368,data/custom\03-01-03-01-02-02-09.wav,happy
369,data/custom\03-01-03-01-02-02-10.wav,happy
370,data/custom\03-01-03-01-02-02-11.wav,happy
371,data/custom\03-01-03-01-02-02-12.wav,happy
